"Prophet"
54932.3995917809
55035.7262378916
55019.271157351
54941.3793029619
54924.3218210884
55057.171585009
55097.1249692368
55083.11025504
55099.3126068243
55042.4414495928
54924.1144792167
54862.0860152177
54933.8172873908
55013.018214839
54989.2315945735
55004.9412593577
54967.6643537383
54891.321904724
54819.8435551089
54842.1796400695
54835.8309826251
54768.9173740881
54776.6007787138
54661.7597242928
54541.2839801669
54628.9777783806
54678.3511462895
54629.1563540746
54641.478130343
54630.1932468807
54591.5387730046
