"SARIMAX"
53761.4505435941
53784.5609823556
53719.4873491143
53699.2926021366
53691.4383712615
53679.3599681983
53703.662002104
53704.1609066645
53715.345401692
53658.6293942124
53623.9331850274
53617.2947876354
53605.1917039249
53622.088235949
53620.5374498571
53615.2237620114
53603.9542668793
53603.6541088147
53592.7120569664
53569.9028452721
53557.6264282374
53543.5722520435
53536.3706957353
53500.1346003076
53504.1962669397
53522.9977277544
53506.1982428287
53476.6190879833
53483.5701968073
53465.1247921563
53447.4438924481
